物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK7-049","駐車場：敷地内北海道銀行P
階段開放：無
通知：現地TEL
警備：無
監視：キズナ
蛍光灯：LED","600","3.6.9.12"
"HK684","駐車場：現地(来客)
階段開放：要
通知：FAX
警備：無し
監視：キズナ
蛍光灯：LED
入館：鍵(玄関左タイヤ置き場ドレン)

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","600","3.6.9.12"
"HK7-156","駐車場：現地借用
階段開放：無
通知：FAX（011-822-0105）
警備：無
監視：キズナ
蛍光灯：LED","600","3.6.9.12"
"HK940","駐車場：現地来客用(南郷通に面した側)
階段開放：なし
通知：TEL
警備：なし
監視：キズナ
蛍光灯：FCL20x6本
入館：インターホン
機械室鍵：現地2階で挨拶、借用","600","3.6.9.12"
"HK1-656","駐車場：路駐か有料P
階段開放：あり
通知：貼紙
警備：なし
監視：キズナ
蛍光灯：FCL30x4
入館：暗証1964","600","3.6.9.12"
"HK8-931","駐車場：近隣有料P(現地はクレーマーいる為、ちょっと停めるのもNG)(2025.3.12~)
階段開放：有
通知：現地FAX(011-832-0141)
警備：セントラル警備(011-700-2700)
監視:キズナ
蛍光灯：LED

2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります<!-- RICH TEXT -->","600","3.6.9.12"
"HK6-959","","600","3.6.9.12"
"HK6-964","","600","3.6.9.12"
"HK9-817","","600","3.6.9.12"
"HK9-818","","600","3.6.9.12"
"HK9-819","","600","3.6.9.12"
"HK1-700","<div><font size=""4"">駐車場：来客用
</font></div><div><font size=""4"">階段開放：なし</font></div><div><font size=""4"">
通知：TEL（011-865-0077）</font></div><div><font size=""4"">
警備：なし
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：12月(FL30×2本)
点検指定：13：30以降</font></div><!-- RICH TEXT -->","750","3.6.9.12"
"HK1-702","<div><font size=""4"">駐車場：来客用</font></div><div><font size=""4"">
階段開放：なし</font></div><div><font size=""4"">
通知：TEL（011-865-0077）</font></div><div><font size=""4"">
警備：なし
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：12月(FL30×4本</font></div><div><font size=""4"">)
点検指定：14：00～15：30の間
</font></div><div><font size=""4"">
※夜間暗証番号7050E

ブレーキ開放リモコン:ピット内

カゴ上リモコン有り</font></div><!-- RICH TEXT -->","750","3.6.9.12"
"HK1-701","<div><font size=""4"">駐車場：来客用</font></div><div><font size=""4"">
階段開放：なし</font></div><div><font size=""4"">
通知：TEL（011-865-0077）</font></div><div><font size=""4"">
警備：なし</font></div><div><font size=""4"">
監視：キズナ</font></div><div><font size=""4"">
蛍光灯：12月(FL30×4本)
</font></div><div><font size=""4"">点検指定：13：30以降</font></div><div><font size=""4"">

※夜間暗証番号1116E</font></div><!-- RICH TEXT -->","750","3.6.9.12"
"HK9-896","<div><font size=""4"">駐車場：裏口側の駐車スペース（送迎バスがある方）</font></div><div><font size=""4"">空いてなければ正面駐車場もOK
</font></div><div><font size=""4"">建物を正面に見て右側から回った場所にあります。</font></div><div>?</div><div><font size=""4"">
裏口側駐車場のスロープ下って裏口より入館、入ってすぐ守衛室があるので
挨拶と入館手続き（入館証をつけるのと記入）と機械室鍵借用。</font></div><div><font size=""4"">

機械室はB1階乗場出て右に回った廊下にあります。</font></div><div><font size=""4"">
警備無し
</font></div><div><font size=""4"">外部インターホン：B1階エレベーター機械室と反対の廊下のEPSドアの中</font></div><div><font size=""4"">
内部階段</font></div><div>?</div><div>?</div><div><font size=""4"">
日中の担当：井上主任
</font></div><div><font size=""4"">夜間の担当：守衛室の当直者
</font></div><div><font size=""4"">
夜間裏口施錠されているときは011-897-4111に電話して開けてもらう。</font></div><div><font size=""4"">
裏口のパスワードは毎月変更、その月の月末日4ケタが暗唱番号。</font></div><!-- RICH TEXT -->","750","3.6.9.12"
"HK8-404","<div>VFGL-JA
・駐車場有(場所指定なし・お客様入口からは離れて駐車願います。)かご上に報告書あり</div><div>
・警備：無
</div><div>・入館：フリー
</div><div>・点検前後：従業員用出入口インターホンにて挨拶</div><div>
・蛍光灯　FCL30×2本
・キズナ　POG　3.6.9.12
</div><div>・点検通知　全体FAX　TEL　指定がない店舗は7のつく日は基本NG／7日　17日　27日※点検はなるべく20日までに完了
</div><div>・※緊急出動報告書　当日もしくは翌日までに窓口先 橘様へ営業所からメールにて提出(紛失を防ぐ為)その後、2枚目を管理課石井さんへ
※休日の故障対応について　　センターで対応された方がメール送信までしてください。担当者に申し送りしないように。
</div><div>・専用書式カゴ上に有ります</div><div>

契約先変更：イオンディライト株式会社(～2025.3.31)→株式会社アゴラ(窓口：株式会社HESTA大倉)(2025.4.1～)?HD請求代行＊駐車場有(場所指定なし・お客様入口からは離れて駐車願います。)点検連絡：2週間前までにイオンディライト下記担当者宛全員にメールで配信マルハン琴似店：担当：山田 幹生(札幌営業センター)mi1-yamada@aeondelight.jp　080-2406-5476マルハン苗穂店：里見　健一(札幌営業センター)ke1-satomi@aeondelight.jpマルハン白石店：担当：木下 裕介(札幌営業センター)yu1-kinoshita@aeondelight.jp　080-2480-5238マルハン美しが丘店：担当：木下 裕介(札幌営業センター)yu1-kinoshita@aeondelight.jp　080-2480-5238取り決め事項</div><div>【点検指定】※点検日指定は継続※指定がない店舗は7のつく日は基本NG／7日　17日　27日※点検はなるべく20日までに完了</div><div>【点検通知】ビリーは4月1日に入りましたら変更します。営業所で点検日を設定した後、店舗へ電話連絡、その後一括して窓口へメール通知※メール送付担当者：進藤さん※先方書式にてメールにて提出(後日ご案内します)　窓口先とCC契約先　橘 様 hiroryu1018@yahoo.co.jp   CC：n-kashiwagi@agora-group.jp 【点検等 報告書 専用報告書を使用】／基本現地保管(レス式はかご上に保管) ※3枚綴り(見本あり)1枚目：店舗控え(サイン受領必須)／2枚目：HESTA大倉控え／ 3枚目： JES控え(黄色)※報告書は 帰社後 JES北海道 本社 管理課へ郵送　管理課にて取り纏めて窓口先へ郵送※送付担当者：石井さん※緊急出動報告書　当日もしくは翌日までに窓口先 橘様へ営業所からメールにて提出(紛失を防ぐ為)その後、2枚目を管理課石井さんへ郵送  → 窓口先へ郵送(基本的月末日までに郵送／そのために20日までに点検実施)【検査】※検査日時も現地へ電話連絡 → 現地承諾後、一覧表にて点検通知と合わせて通知※検査実施時も専用報告書を使用(見本あり)※検査実施後の行政提出前 事前確認はメールにて行うこと※捺印完了後は窓口先へ提出　　郵送時 マルハン〇〇店　検査報告書 在中 と記載し、レターパックにて送付※検査報告等担当者：高橋さん</div><!-- RICH TEXT -->","750","3.6.9.12"
"HK8-569","<font size=""4"">警備無し、駐車場建物入り口正面の来客用
インターホンで入館、事務所で挨拶</font><!-- RICH TEXT -->","750","3.6.9.12"
"HK2-309","VFGLB(UCMP)　
駐車場：現地か第2駐車場 
警備： 無
外部開放：無
点検通知：全体FAX　木曜12：40～
蛍光灯：LED
監視：無し","750","3.6.9.12"
"HK2-997","①駐車場　　　　　建物前駐車スペース利用可。　
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　現地　佐々木様へTEL　0123-59-6213","750","3.6.9.12"
"HK2-998","①駐車場　　　　　建物前駐車スペース利用可。　
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　現地　佐々木様へTEL　0123-59-6213","750","3.6.9.12"
"HK3-332","インターホンにて入館
インターホンテスト時事務所に一声
VFGLB
暗証　無
挨拶　事務所
警備　無
駐車場　来客用
階段解放　無","750","3.6.9.12"
"HK7-202","インターホンにて入館
入り口左の事務所に挨拶
駐車場は空いてる場所でどこでも可
警備無し","750","3.6.9.12"
"HK1-394","フジテック:6524GFF　２カー

駐車場：敷地内
警備：無し
内階段：出入りは鍵が必要
入館：受付（玄関）にて入館手続（入館証借用）
外部インターホン：１階事務所
点検通知：現地FAX　011-868-3732
蛍光灯：FL20×3本(6月)


１階HPI内
・ランディックテストコネクタ
・ブレーキ開放等のコネクタ有り、２台分（基板は一枚）

※２～５階乗場前に入居者居る場合有り、作業時は注意のこと

■綜通アメニティサービス(株)共通事項1行目■←点検報告書及び作業終了連絡書を点検後契約先 古谷様へFAX03-5543-0531
【点検報告書注意点】管理番号は全て記載する。連絡事項は”以上”で締める。(サンプルは故障フォルダ)
【緊急出動報告書注意点】物件名の下と現場到着状況にエレベーター○号機と記載する。時間は12時間表記。(サンプルは故障フォルダ)
▲緊急出動時は故障の有無に関わらず必ず緊急出動報告書を作成し現地責任者(ホーム長もしくは副ホーム長)の認印を頂戴し契約先へ提出。▲
▲緊急対応終了後事務所に戻ったら作業終了報告書と合わせて契約先へFAX。▲
*物件名変更：レストヴィラ成城南→SOMPOケアラヴィーレ成城南(H28.4～)
*点検月の月末までに報告書をI-reporter掲載(若しくは業務管理へ発送)
-------------------------------------------------------------------------------
【CRC】2021～
①故障発生・完了時　CRCよりメール連絡
必ず宛先に下記4名を入れる。(時間・曜日問わず)
・横山様　a_yokoyama@sotsu.gr.jp
・大貫様　t_oonuki@sotsu.gr.jp　(2022.7～)
・岩田様　k_iwata@sotsu.gr.jp　(2022.7～)
・矢島様　t_yajima@sotsu.gr.jp　(～2022.9)
・若林様　r_wakabayashi@sotsu.gr.jp(2023.10～)
※CCは今まで通りです。
※CRCからの電話連絡は不要です。
★閉じ込め・重大(お客様怪我)などは、メールと併せて電話連絡が必要です。(平日9：00～18：00)
②現着時・対応完了時　技術員より電話連絡　(平日9：00～18：00のみ)
※時間外と土日祝日は①のみ
--------------------------------------------------------------------------------

《重要》故障発生連絡・完了報告について　2016/5/20～

【契約先営業時間(AM8:30-18:00)】
★★　照明切れ、ランプ切れなどの小さなことでも報告すること　2016.2.25　伊藤(秀)主任に確認済み★★
■故障発生時及び技術員手配時【到着予定時間】と【通報者(役職　例：ホーム長か副ホーム長)】を確認し、契約先 横山様宛(03-6222-3815)に電話すること■
★故障発生メール：綜通アメニティ社内+保全営業に送信★
★故障完了報告は、技術員より契約先 横山様宛(03-6222-3815)に電話すること★

【平日18：00以降及び土日祝日の場合】
■故障発生時及び技術員手配時【到着予定時間】と【通報者(役職　例：ホーム長か副ホーム長)】を確認し、契約先 横山様へメール(発生・完了)報告する事■
★TOに綜通アメニティ社外横山様(TO)【社外】と、CCに綜通アメニティ(CC)【社外】営業所を入れ、「発生」「長時間」「完了」「その他メール全て」に関しては、CRC当日の責任者【センター長】より送信すること★

故障連絡について【契約先営業時間(AM8:30-18:00)】(2023.7～)
発生完了時にCRCからメール。電話連絡は閉じ込め(発生・救出・完了)or　判断を仰ぐとき(有償対応等)のみ。※通常故障は現着連絡も不要","750","3.6.9.12"
"HK6-397","月曜日NG","750","3.6.9.12"
"HK2-508","駐車場所：都度職員さんに聞いてください
警備：無、
外部階段解放：無、
挨拶：1階事務所
遠隔監視：キズナ、
入館：インターホン、
客先INT：2階事務所前、
点検時間：12：00～13：00指定　　　
点検連絡：現地TEL：011-899-7711(1週間前に連絡し調整すること)
照明　：　LED","750","3.6.9.12"
"HK8-438","駐車場：地下タイムズへ（駐車券、受付で渡せば割引してくれる。）
階段開放：無
通知：TEL　011-867-7000現地木下様　　指定10：00～12：00
警備：無
監視：キズナ
蛍光灯：LED



※地下タイムズから内階段で1階へ→スタッフ専用出入口から入館（朝の営業前）
B1階不停止スイッチ有","750","3.6.9.12"
"HK7-692","駐車場：敷地内
挨拶:正面玄関入って右側受付　DWは機械室鍵借用　必要　土足可
EV位置:正面入口から左方面に行き右側　正背面ドアタイプ　背面側は厨房近いので注意　1階だけ背面　
背面側行くのは1階トイレ横プライベートルーム扉から入って左側　かぎかかってる場合は　開けてもらう
UCMP有り　救出リモコンカゴ上に有り
リフトスポットあり
カゴ内特殊スイッチあり　最後注意　正保守←背保守　正常←背1切離　正常←専用","750","3.6.9.12"
"HK1-393","駐車場：敷地内
警備：無し
内階段：出入りは鍵が必要
入館：受付（玄関）にて入館手続（入館証借用）
外部インターホン：１階事務所
点検通知：現地FAX　011-868-3732
蛍光灯：FL20×3本(6月)


１階HPI内
・ランディックテストコネクタ
・ブレーキ開放等のコネクタ有り、２台分（基板は一枚）

※２～５階乗場前に入居者居る場合有り、作業時は注意のこと


【緊急出動報告書注意点】物件名の下と現場到着状況にエレベーター○号機と記載する。時間は12時間表記。(サンプルは故障フォルダ)
▲緊急出動時は故障の有無に関わらず必ず緊急出動報告書を作成し現地責任者(ホーム長もしくは副ホーム長)の認印を頂戴し契約先へ提出。▲
▲緊急対応終了後事務所に戻ったら作業終了報告書と合わせて契約先へFAX。▲
*物件名変更：レストヴィラ成城南→SOMPOケアラヴィーレ成城南(H28.4～)
*点検月の月末までに報告書をI-reporter掲載(若しくは業務管理へ発送)
-------------------------------------------------------------------------------
【CRC】2021～
①故障発生・完了時　CRCよりメール連絡
必ず宛先に下記4名を入れる。(時間・曜日問わず)
・横山様　a_yokoyama@sotsu.gr.jp
・大貫様　t_oonuki@sotsu.gr.jp　(2022.7～)
・岩田様　k_iwata@sotsu.gr.jp　(2022.7～)
・矢島様　t_yajima@sotsu.gr.jp　(～2022.9)
・若林様　r_wakabayashi@sotsu.gr.jp(2023.10～)
※CCは今まで通りです。
※CRCからの電話連絡は不要です。
★閉じ込め・重大(お客様怪我)などは、メールと併せて電話連絡が必要です。(平日9：00～18：00)
②現着時・対応完了時　技術員より電話連絡　(平日9：00～18：00のみ)
※時間外と土日祝日は①のみ
--------------------------------------------------------------------------------

《重要》故障発生連絡・完了報告について　2016/5/20～

【契約先営業時間(AM8:30-18:00)】
★★　照明切れ、ランプ切れなどの小さなことでも報告すること　2016.2.25　伊藤(秀)主任に確認済み★★
■故障発生時及び技術員手配時【到着予定時間】と【通報者(役職　例：ホーム長か副ホーム長)】を確認し、契約先 横山様宛(03-6222-3815)に電話すること■
★故障発生メール：綜通アメニティ社内+保全営業に送信★
★故障完了報告は、技術員より契約先 横山様宛(03-6222-3815)に電話すること★

【平日18：00以降及び土日祝日の場合】
■故障発生時及び技術員手配時【到着予定時間】と【通報者(役職　例：ホーム長か副ホーム長)】を確認し、契約先 横山様へメール(発生・完了)報告する事■
★TOに綜通アメニティ社外横山様(TO)【社外】と、CCに綜通アメニティ(CC)【社外】営業所を入れ、「発生」「長時間」「完了」「その他メール全て」に関しては、CRC当日の責任者【センター長】より送信すること★

故障連絡について【契約先営業時間(AM8:30-18:00)】(2023.7～)
発生完了時にCRCからメール。電話連絡は閉じ込め(発生・救出・完了)or　判断を仰ぐとき(有償対応等)のみ。※通常故障は現着連絡も不要","750","3.6.9.12"
"HK8-567","駐車場：敷地内
階段開放：無
通知：現地FAX(011-874-2294)
警備：無
監視：キズナ
蛍光灯：12月(FCL30×4)

※2023.1.23--------------------------------------
各階乗場表示基板
旧：UA2-HMDA 1 【専用 INDE-PEND. 】表示有
だったのを、
新:UA2-HMDA-A　信号灯ナシを入れてます。
現地、専用SW使用しないと思われることから
そのままにしてます。（客先へは報告してません）

・もし今後冠水等で交換する機会があれば、専用表示有を
購入して下さい。
-----------------------------------------------------","750","3.6.9.12"
"HK7-052","駐車場：敷地内北海道銀行P
階段開放：無
通知：現地TEL
警備：無
監視：キズナ
蛍光灯：LED

現地管理人室の電話取り外し中の為、電話つながらない状態(2024.9.12確認)。設置日は未定","750","3.6.9.12"
"HK7-053","駐車場：敷地内北海道銀行P
階段開放：無
通知：現地TEL
警備：無
監視：キズナ
蛍光灯：LED

現地管理人室の電話取り外し中の為、電話つながらない状態(2024.9.12確認)。設置日は未定","750","3.6.9.12"
"HK9-897","駐車場：裏口側の駐車スペース（送迎バスがある方）空いてなければ正面駐車場もOK
建物を正面に見て右側から回った場所にあります。
裏口側駐車場のスロープ下って裏口より入館、入ってすぐ守衛室があるので
挨拶と入館手続き（入館証をつけるのと記入）と機械室鍵借用。

機械室はB1階乗場出て左に回った廊下にあります。
警備無し
外部インターホン：B1階エレベーター機械室と反対の廊下のEPSドアの中
内部階段
日中の担当：井上主任
夜間の担当：守衛室の当直者

夜間裏口施錠されているときは011-897-4111に電話して開けてもらう。
裏口のパスワードは毎月変更、その月の月末日4ケタが暗唱番号。","750","3.6.9.12"
"HK2-162","","750","3.6.9.12"
"HK7-275","","750","3.6.9.12"
"HK7-705","","750","3.6.9.12"
"HK7-706","","750","3.6.9.12"
"HK9-145","","750","3.6.9.12"
"HK8-574","<div>VFGLB
</div><div>・内階段
</div><div>・敷地内駐車場可
</div><div>・警備：無
</div><div>・入館：インターホン</div><div>
・蛍光灯：LED
</div><div>・点検通知：現地TEL　011-376-5294</div><div>
キズナ　POG　3.6.9.12</div><div>

※点検後に修繕箇所がある場合は、報告書コピー及び御見積書を併せて創生事業団北海道事業部清水次長へ提出
※点検予定日の1週間前に施設または管理者へTEL・FAX・メールのいずれかで連絡　施設長：渡邊様【Maximo関連】現地報告書後日郵送</div><!-- RICH TEXT -->","850","3.6.9.12"
"HK8-151","建物目の前の有料駐車場使用。
オルテンシア文京台側の入り口インターホンより入館。
2階奥の事務所に挨拶。
有料駐車券は入り口目の前の機械で無料にできます。","850","3.6.9.12"
"HK759","インターホン1階夜警室と2階ナースステーション左側壁面
※最新救出訓練実施日：2023/12/11　参加者：岩城","900","3.6.9.12"
"HK2-158","","900","3.6.9.12"
"HK2-159","","900","3.6.9.12"
"HK2-163","","900","3.6.9.12"
"HK7-273","","900","3.6.9.12"
"HK7-274","","900","3.6.9.12"
"HK9-941","<div>*内階段　</div><div>*暗証番号：呼 9252</div><div>*駐車場：空いていれば参番館149番駐車可　埋まっているか空けるよう問い合わせあれば路駐（日本ハウジング山村様より理事長様の駐車場　　　　　　　　　　　　　　　　　　　所使用許可。)　 関連リンク参照</div><div>キーボックス：弐番館機械室?</div><div>*管理人 (月)～(金) 9時～17時 土曜は～12時まで</div><div>管理人　携帯)080-5098-9495</div><div>点検連絡は、2週間前に管理人へ貼紙現地渡しor管理人室ポスト(1棟あたり4枚×4棟　計16枚(棟ごとに分かるように))</div><!-- RICH TEXT -->","450","3.6.9.12※引継書に記載あり"
"HK9-942","<div>*内階段　</div><div>*暗証番号：呼 9253?</div><div>*駐車場：空いていれば参番館149番駐車可　埋まっているか空けるよう問い合わせあれば路駐（日本ハウジング山村様より理事長様の駐車場　　　　　　　　　　　　　　　　　　　所使用許可。)　 関連リンク参照</div><div>キーボックス：弐番館機械室?</div><div>*管理人 (月)～(金) 9時～17時 土曜は～12時まで</div><div>管理人　携帯)080-5098-9495</div><div>点検連絡は、2週間前に管理人へ貼紙現地渡しor管理人室ポスト(1棟あたり4枚×4棟　計16枚(棟ごとに分かるように))</div><!-- RICH TEXT -->","450","3.6.9.12※引継書に記載あり"
"HK9-940","<div>*内階段　</div><div>*暗証番号：呼9251?</div><div>*駐車場：空いていれば参番館149番駐車可　埋まっているか空けるよう問い合わせあれば路駐（日本ハウジング山村様より理事長様の駐車場　　　　　　　　　　　　　　　　　　　所使用許可。)　 関連リンク参照</div><div>キーボックス：弐番館機械室??</div><div>*管理人 (月)～(金) 9時～17時 土曜は～12時まで</div><div>管理人　携帯)080-5098-9495</div><div>点検連絡は、2週間前に管理人へ貼紙現地渡しor管理人室ポスト(1棟あたり4枚×3棟　2番館のみ3枚　計15枚(棟ごとに分かるように))</div><div>点検時 貼紙はそれぞれＡ~D （2番館のみＡ～Ｃ）入口に貼ってもらってますので忘れず剥してください。</div><!-- RICH TEXT -->","450","3.6.9.12※引継書に記載あり"
"HK9-943","<div>*内階段　</div><div>*暗証番号：呼 9254?</div><div>*駐車場：空いていれば参番館149番駐車可　埋まっているか空けるよう問い合わせあれば路駐（日本ハウジング山村様より理事長様の駐車場　　　　　　　　　　　　　　　　　　　所使用許可。)　 関連リンク参照</div><div>キーボックス：弐番館機械室?</div><div>*管理人 (月)～(金) 9時～17時 土曜は～12時まで</div><div>管理人　携帯)080-5098-9495</div><div>点検連絡は、2週間前に管理人へ貼紙現地渡しor管理人室ポスト(1棟あたり4枚×4棟　計16枚(棟ごとに分かるように))</div><!-- RICH TEXT -->","450","3.6.9.12※引継書記載"
"HK2-638","①駐車場　　　　　有　建物前スペース　
②入館　　　　　　インターホンで挨拶し入館
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL0126632055

インターホンで挨拶後、左手の本堂玄関より入館し左手側にELVあり。

2024.7.18　救出訓練実施　間島昭子　１名","200","3.7.11"
"HK8-571","<div>・内階段・敷地内駐車場可
</div><div>蛍光灯：LED
</div><div>点検通知：現地TEL　011-595-7294
</div><div>

※点検後に修繕箇所がある場合は、報告書コピー及び御見積書を併せて創生事業団北海道事業部清水次長へ提出
※点検予定日の1週間前に施設または管理者へTEL・FAX・メールのいずれかで連絡管理者：村田様
※一言お声がけしてからステッカーを貼ってください。
</div><div>※1階乗場左側三方枠にブレーカー・制御盤等あります。
【開け方】
①真ん中の鍵を回す
②上下にあるロック(真横でロックが掛かっている)を回す
(縦になるように回しますが縦にはなりません)
③鍵の部分からマイナスドライバーなどで少しずつ手前に出すようにする
※ロックを解除するとき、蓋を外すときに無理に力をかけないこと

【Maximo関連】現地報告書後日郵送</div><!-- RICH TEXT -->","200","3.9"
"HK2-053","①駐車場　　　　　有（建物横スペース使用可。路駐はNG。捕まります）
②入館　　　　　　インターホンにて入館。
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL　0126-31-0020","200","3.9"
"HK7-168","インターホンにて入館
事務所に挨拶
分電盤　洗濯室奥左にあり","200","3.9"
"HK1-588","インターホンにて入館
暗証：無　
挨拶：事務所　
警備：無　
駐車場：空いている所　
階段解放：無","200","3.9"
"HK1-587","駐車場：建物前2台可能
階段開放：無
通知：TEL（011-875-2500）
警備：無
監視：無
蛍光灯：3月（FL20×1本）","200","3.9"
"HK2-798","駐車場：敷地内
階段開放：無
通知：TEL（011-874-3300）
警備：無
監視：無
蛍光灯：LED","200","3.9"
"HK6-886","インターホンにて入館
駐車場　入り口前
事務所にて挨拶","500","3.9"
"HK8-841","三菱/日立　VFGS

社会医療法人共栄会　有田理事長の自宅です。（住んではいないらしい？）
点検連絡：法人本部 千葉課長へ点検日連絡。時間は要相談。午後が良さそう。
現場立会：有田常務理事（有田院長の息子）がしてくれる。

駐車場：現場前に駐車（邪魔にならないところへ）

カゴ内電話器：弊社LTE-GW かご上に設置

起動回数：ほぼ使用していない。
月平均10~20回もないくらいのでは？とのこと。2023.4.25","200","4"
"HK7-223","駐車場：現地
階段開放：なし
通知：TEL
警備：なし
監視：なし
蛍光灯：LED
入館：フリー","200","4"
"HK2-248","<div>2015HIM-C(2停)　　　</div><div>駐車場所：現地駐車場空いているところ</div><div>警備：無、</div><div>外部階段解放：無</div><div>挨拶：現地事務所</div><div><br /></div><div>遠隔監視：無、入館：インターホン</div><div>契約：POG、点検月：4・10</div><div>客先INT：1階事務所</div><div>照明：LED×2</div><div><br /></div><div>点検時間：指定無　　　レポート作成：2部　提出先：現地</div><div><br /></div><div>点検連絡：現地TEL：011-899-6666</div><div><br /></div><div>■JPM認定物件　認定番号：JPM-21264　有効期間：2021/8/19～2023/8/31 【連続取得物件　旧認定番号：JPM-19082】</div><!-- RICH TEXT -->","200","4.10"
"HK6-784","<div>パナ　EV.NO　R24161　　
EV設置年2017年10月
</div><div>入館：インターホンにて</div><div>
駐車場：建物前（地下駐車場は閉められてることが多い）</div><div>
点検通知：現地TEL　011-868-1307

！重要！→【メンテコン都度持参要　UCMP動作しやすい】?</div><div>　</div><!-- RICH TEXT -->","200","4.10"
"HK8-386","インターホンで入館
駐車場　開いてるスペース","200","4.10"
"HK3-252","暗証　無
挨拶　住宅インターホンにて
警備　無
駐車場　現地空きスペース
外部解放　無
                                             
インターホンテストは声かけてから。  設置場所住宅内","200","4.10"
"HK3-290","駐車場：現地(入り口と出口が別々なので逆進注意)
通知：TEL
入館：フリー
点検挨拶:総務課(入り口すぐの階段上がり2階の奥にある)
太平専用報告書にサインもらう必要あり","200","4.10"
"HK7-260","駐車場：現地可
警備：なし","200","4.10"
"HK2-247","","200","4.10"
"HK6-939","インターホンにて入館
機械室は2階乗場より脚立で行く
上靴必要","500","4.10"
"HK2-190","<div>*緊急対応費別途請求
点検時間帯：10：00～12：00が希望</div><div>                                                            
*契約先変更：帝国セキュリティ株式会社→株式会社ラウンドワンジャパン(2024/9/1～)
*故障発生時は現地に連絡
【CRC】2021/07/16
故障発生連絡　06-6647-2400　小野様　※東京オフィス　カワイ様指示　【山形】
⇒2024/07/05　故障発生・完了連絡不要です　本社 小野様　【宮野】
*会社名変更：株式会社ラウンドワン→株式会社ラウンドワンジャパン(会社分割の為)(2024/4/1～)
*有人点検報告書メール送付：株式会社ラウンドワンジャパン　運営企画本部　建装・開発部　課長　名ヶ迫様　h-nagasako@round1.co.jp(業務管理課にて対応)
*指摘・緊急に対応すべき不具合等があれば、メンテ員から報告書・見積・説明分を名ヶ迫様へ別途連絡してください。
*入館方法等、店舗へ直接聞いてください。(ラウンドワン本社　名ケ迫課長のご意向です)

*小荷物専用昇降機は名ヶ迫様がご担当
*緊急対応費は店舗決裁の為、店舗へ見積・出動報告書を送付
*部品交換を要す場合の見積等は名ヶ迫様へ提出(指摘分、提案書を必ず一緒に提出)
*注意事項　社員の方は9：15～の勤務(一部店舗例外あり)(9：00点検開始注意!)

2018／10ドアモーター故障中　見積り提出しているが、お客様は交換しないで手動で開閉するので再見積り不要
駐車場・現地
鍵・二階事務所で借用
点検連絡・全体</div><!-- RICH TEXT -->","100","4.11"
"HK941","駐車場：有料P
階段開放：あり
通知：メールと貼紙
警備：なし
監視：キズナ
蛍光灯：FCL30x4
入館：鍵(外階段1,2階の間にKBOX)","450","4.7.10.12"
"HK3-102","①駐車場　　　　　建物前駐車スペース
②入館　　　　　　正面玄関向かって左手に従業員用出入口あるのでそこから入館。
③キーBOX　　　　無　機械室施錠無し
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　一括FAX　管理会社より現地に連絡する。

４月末から１０月末までのシーズン中はAM１０：００までに作業を終了させる。
オフシーズンは指定なし。

小荷物の場所はEV向かって右手に進んだ突き当たり右手のドア開けた奥に有り。
突き当たり左手に2階への階段あります。","200","4.7.9.12"
"HK3-101","①駐車場　　　　　建物前駐車スペース
②入館　　　　　　正面玄関向かって左手に従業員用出入口あるのでそこから入館。
③キーBOX　　　　無　機械室施錠無し
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　一括FAX　管理会社より現地に連絡する。

４月末から１０月末までのシーズン中はAM１０：００までに作業を終了させる。
オフシーズンは指定なし。

※最新救出訓練実施日：2025.4.3　鎌田　伊藤　宮本　今野　大西　5名","600","4.7.9.12"
"HK3-354","入館：裏口インターホンより
事務室入って左側の総務に挨拶と鍵借用","100","4.8.12"
